training_size,model_type,trial_id,lambda,df,aicc
108,lasso,2,0.133106134841196,4,-27.833483326912276
108,lasso,2,0.12128135267778409,5,-30.18228523398716
108,lasso,2,0.11050705157130442,8,-28.277961709103746
108,lasso,2,0.10068990967990624,10,-29.04834153070368
108,lasso,2,0.09174489561696304,10,-34.50186637152807
108,lasso,2,0.08359453194987991,10,-39.39617892670525
108,lasso,2,0.07616822412763691,11,-41.53199693896186
108,lasso,2,0.06940164902455995,11,-45.93334719836236
108,lasso,2,0.0632361978041779,12,-47.863516752385024
108,lasso,2,0.057618468277518986,12,-51.9722184214597
108,lasso,2,0.052499802358897084,12,-55.685550718534984
108,lasso,2,0.04783586461285113,12,-59.055744568107
108,lasso,2,0.043586258241812836,16,-51.4845179240474
108,lasso,2,0.03971417518837164,17,-51.69015481508915
108,lasso,2,0.03618607732149008,18,-51.64953097073177
108,lasso,2,0.032971405945257104,19,-51.36586668138747
108,lasso,2,0.03004231711408309,20,-50.874248004003135
108,lasso,2,0.027373440461763477,20,-53.282042636757026
108,lasso,2,0.02494165945550366,20,-55.47941403189044
108,lasso,2,0.02272591117157067,21,-54.43767645550491
108,lasso,2,0.020707003858324118,21,-56.32062171555046
108,lasso,2,0.018867450706444674,21,-58.04666067909807
108,lasso,2,0.017191318386557266,21,-59.630062738486544
108,lasso,2,0.015664089042354404,22,-57.94684173877174
108,lasso,2,0.014272534543870074,22,-59.323337006140406
108,lasso,2,0.013004601911746183,22,-60.58837755852602
108,lasso,2,0.011849308920091412,24,-55.2370717793405
108,lasso,2,0.010796648973694343,24,-56.315836449098505
108,lasso,2,0.009837504435682806,25,-53.93797483186373
108,lasso,2,0.008963567654915097,25,-54.87769271358658
108,lasso,2,0.008167269009080092,25,-55.749820311507236
108,lasso,2,0.0074417113402500375,26,-53.18088054008126
108,lasso,2,0.006780610214998116,26,-54.09933127145453
108,lasso,2,0.006178239491642523,27,-51.429013219699826
108,lasso,2,0.00562938172314656,26,-55.834685434860944
108,lasso,2,0.005129282966088382,26,-56.64970263383958
108,lasso,2,0.004673611604277321,27,-53.92700047636801
108,lasso,2,0.004258420830366657,28,-51.1058484116637
108,lasso,2,0.0038801144604964934,28,-51.89368826940607
108,lasso,2,0.0035354157858695496,28,-52.64089037169917
108,lasso,2,0.003221339191467107,29,-49.634537838846896
108,lasso,2,0.002935164296080011,29,-50.3968448369301
108,lasso,2,0.0026744123896680428,29,-51.10965930720364
108,lasso,2,0.0024368249639593457,28,-55.49585438186587
108,lasso,2,0.0022203441503322254,28,-56.10941797233441
108,lasso,2,0.002023094895541615,28,-56.68011467146859
108,lasso,2,0.0018433687209048757,28,-57.21220908437273
108,lasso,2,0.0016796089242767705,28,-57.70936460151877
108,lasso,2,0.0015303970966401943,28,-58.17322061124078
108,lasso,2,0.0013944408365258222,27,-62.22917157306189
108,lasso,2,0.0012705625558488566,26,-66.131019356524
108,lasso,2,0.0011576892802043844,26,-66.48181395850565
108,lasso,2,0.0010548433552763838,25,-70.27150037418848
108,lasso,2,9.6113397886374e-4,25,-70.58408887158556
108,lasso,2,8.757494851777318e-4,25,-70.88841070944268
108,lasso,2,7.979503145812629e-4,25,-71.1980555371617
108,lasso,2,7.270626078770851e-4,25,-71.53199647809761
108,lasso,2,6.624723696618001e-4,25,-71.88896041943734
108,lasso,2,6.03620150191405e-4,25,-72.32615342192669
108,lasso,2,5.499961996952462e-4,25,-72.92425045586948
108,lasso,2,5.011360531673656e-4,26,-70.19880890817436
108,lasso,2,4.566165073928152e-4,25,-74.45750332550524
108,lasso,2,4.1605195536386616e-4,25,-75.1331879816767
108,lasso,2,3.790910463365788e-4,25,-75.75879894884149
108,lasso,2,3.454136425987418e-4,25,-76.31826722704973
108,lasso,2,3.1472804659016013e-4,26,-73.37628560076476
108,lasso,2,2.867684743579344e-4,26,-73.86614386315023
108,lasso,2,2.6129275346300953e-4,26,-74.33047249539854
108,lasso,2,2.380802253983608e-4,27,-71.22766042618609
108,lasso,2,2.1692983435056732e-4,28,-68.0388578834267
108,lasso,2,1.9765838575053945e-4,29,-64.78294849861005
108,lasso,2,1.8009895952980008e-4,29,-65.19304087206079
108,lasso,2,1.640994643387046e-4,29,-65.56474246191242
108,lasso,2,0.00014952132020392951,29,-65.9015312013184
108,lasso,2,1.36238258215039e-4,29,-66.20716911098414
108,lasso,2,1.2413522684358863e-4,28,-70.20785046557079
108,lasso,2,1.1310739542182568e-4,28,-70.46014819109438
108,lasso,2,1.0305924614959516e-4,28,-70.69209331286201
108,lasso,2,9.390374676484976e-5,28,-70.90530756744299
108,lasso,2,8.556159671183147e-5,28,-71.09886015861555
108,lasso,2,7.796054027759434e-5,28,-71.27689402543798
108,lasso,2,7.103474074758547e-5,28,-71.4403221175874
108,lasso,2,6.472421015951923e-5,28,-71.5900964334442
108,lasso,2,5.8974289716345696e-5,28,-71.72687395115581
108,lasso,2,5.37351763578989e-5,28,-71.85193366811605
108,lasso,2,4.896149139061504e-5,28,-71.96686509381728
108,lasso,2,4.4611887438997597e-5,28,-72.0724764937403
108,lasso,2,4.0648690314431026e-5,28,-72.16931574068649
108,lasso,2,3.703757269938197e-5,27,-75.89166682191895
108,lasso,2,3.374725682059668e-5,27,-75.97314144595855
108,lasso,2,3.074924353599211e-5,27,-76.04797528246387
108,lasso,2,2.8017565488720967e-5,27,-76.11664727108727
108,lasso,2,2.552856219034921e-5,27,-76.17988975639138
540,lasso,2,0.19357457581557475,0,6.707523425575346e-12
540,lasso,2,0.1763779440140058,1,-12.093987899155575
540,lasso,2,0.160709013585785,3,-29.17315034645175
540,lasso,2,0.14643206775142545,3,-52.66678486998809
540,lasso,2,0.13342344643607887,5,-77.24700988837745
540,lasso,2,0.12157047518512497,9,-98.96065496476852
540,lasso,2,0.11077048923194815,9,-127.9472912060247
540,lasso,2,0.100929944264843,9,-153.65748388785903
540,lasso,2,0.09196360619093706,9,-176.67743168911056
540,lasso,2,0.08379381287925368,11,-194.22031993635215
540,lasso,2,0.07634980148848636,13,-211.198915200552
540,lasso,2,0.06956709555311971,14,-228.75386918679047
540,lasso,2,0.06338694651913016,15,-246.34466673101542
540,lasso,2,0.05775582489211575,16,-262.9160972327404
540,lasso,2,0.052624956590423766,17,-278.195079951294
540,lasso,2,0.0479499004873885,18,-292.492258608866
540,lasso,2,0.04369016348355235,18,-307.9289030554308
540,lasso,2,0.03980884977480986,20,-317.9263643984953
540,lasso,2,0.03627234127860323,22,-327.40080188096834
540,lasso,2,0.033050006450173745,22,-340.15219645169026
540,lasso,2,0.030113934966775006,22,-351.8329178024252
540,lasso,2,0.027438695981809317,22,-362.56045711055805
540,lasso,2,0.025001117855000376,23,-370.470897087978
540,lasso,2,0.02278008745073031,23,-380.0710244545594
540,lasso,2,0.0207563672661593,24,-386.85750339115174
540,lasso,2,0.01891242880517903,24,-395.25087035325606
540,lasso,2,0.017232300754964895,25,-401.0184949351755
540,lasso,2,0.01570143065010484,28,-402.1326192264145
540,lasso,2,0.014306558826105745,28,-409.715802359583
540,lasso,2,0.013035603570522889,29,-414.6884937060038
540,lasso,2,0.011877556476946547,29,-421.70647663031184
540,lasso,2,0.010822387095451996,31,-423.8697068574685
540,lasso,2,0.009860956053640745,31,-430.1492752268696
540,lasso,2,0.00898493589576902,33,-431.5623006057383
540,lasso,2,0.008186738954309892,33,-437.33023057540504
540,lasso,2,0.0074594516292070395,33,-442.72731544431053
540,lasso,2,0.006796774505578463,35,-443.2559070451671
540,lasso,2,0.006192967791198364,35,-448.0754891769219
540,lasso,2,0.005642801601162755,35,-452.61290597521634
540,lasso,2,0.005141510659128352,35,-456.90250955737577
540,lasso,2,0.004684753022768555,35,-460.9733955905865
540,lasso,2,0.004268572475946166,37,-460.34419338342985
540,lasso,2,0.0038893642618618267,37,-464.28356673531783
540,lasso,2,0.0035438438603751076,38,-465.6957589169728
540,lasso,2,0.003229018539062338,38,-469.1930413588264
540,lasso,2,0.0029421614316000504,38,-472.4488637295063
540,lasso,2,0.0026807879189533956,37,-477.7630077386697
540,lasso,2,0.002442634108794683,39,-475.899815488998
540,lasso,2,0.002225637226751065,38,-480.816695552957
540,lasso,2,0.0020279177496397346,38,-483.2149814548972
540,lasso,2,0.0018477631259372614,38,-485.44020102001133
540,lasso,2,0.0016836129424775668,38,-487.5024137382089
540,lasso,2,0.0015340454088995684,39,-487.0929660514331
540,lasso,2,0.0013977650427792435,39,-488.9292190526148
540,lasso,2,0.0012735914487806202,39,-490.6183653703516
540,lasso,2,0.001160449094636069,39,-492.17900232395436
540,lasso,2,0.0010573579954003248,39,-493.6191358225998
540,lasso,2,9.634252252897087e-4,39,-494.95109649417464
540,lasso,2,8.778371835861571e-4,40,-493.80406263983053
540,lasso,2,7.998525476170217e-4,40,-495.61174404057573
540,lasso,2,7.287958517727211e-4,40,-497.2554223463681
540,lasso,2,6.640516369467681e-4,40,-498.6997291132927
540,lasso,2,6.050591197234195e-4,40,-500.023000929764
540,lasso,2,5.513073351400027e-4,40,-501.2064239995547
