training_size,cost,gamma,param_type,trial_id,seeds,total,correct,accuracy,misclassification
108,10.0,0.006,minimum_error,A074,9387,2586,2167,0.8379737045630317,0.16202629543696834
108,10.0,0.006,minimum_error,A075,3455,2586,2275,0.8797370456303171,0.12026295436968293
108,10.0,0.006,minimum_error,A076,7598,2586,2179,0.8426140757927301,0.15738592420726993
108,10.0,0.006,minimum_error,A077,8437,2586,2171,0.8395204949729311,0.16047950502706887
108,10.0,0.006,minimum_error,A078,915,2586,2255,0.8720030935808198,0.12799690641918016
108,10.0,0.006,minimum_error,A079,2952,2586,2279,0.8812838360402165,0.11871616395978346
108,10.0,0.006,minimum_error,A080,1408,2586,2208,0.8538283062645011,0.14617169373549888
108,10.0,0.006,minimum_error,A081,5027,2586,2264,0.8754833720030936,0.12451662799690644
108,10.0,0.006,minimum_error,A082,4483,2586,2273,0.8789636504253674,0.1210363495746326
108,10.0,0.006,minimum_error,A083,2826,2586,2154,0.8329466357308585,0.16705336426914152
108,10.0,0.006,minimum_error,A084,5228,2586,2235,0.8642691415313225,0.1357308584686775
108,10.0,0.006,minimum_error,A085,6375,2586,2270,0.8778035576179428,0.12219644238205718
108,10.0,0.006,minimum_error,A086,4760,2586,2214,0.8561484918793504,0.14385150812064962
108,10.0,0.006,minimum_error,A087,1103,2586,2242,0.8669760247486465,0.13302397525135345
108,10.0,0.006,minimum_error,A088,7696,2586,2268,0.877030162412993,0.12296983758700697
108,10.0,0.006,minimum_error,A089,4983,2586,2227,0.8611755607115236,0.13882443928847643
108,10.0,0.006,minimum_error,A090,745,2586,2235,0.8642691415313225,0.1357308584686775
108,10.0,0.006,minimum_error,A091,5593,2586,2239,0.865815931941222,0.13418406805877803
108,10.0,0.006,minimum_error,A092,4364,2586,2159,0.8348801237432328,0.16511987625676716
108,10.0,0.006,minimum_error,A093,56,2586,2259,0.8735498839907193,0.1264501160092807
108,10.0,0.006,minimum_error,A094,2171,2586,2236,0.8646558391337974,0.1353441608662026
108,10.0,0.006,minimum_error,A095,2650,2586,2236,0.8646558391337974,0.1353441608662026
108,10.0,0.006,minimum_error,A096,1321,2586,2173,0.8402938901778809,0.15970610982211908
108,10.0,0.006,minimum_error,A097,4492,2586,2289,0.8851508120649652,0.11484918793503485
108,10.0,0.006,minimum_error,A098,9590,2586,2240,0.8662026295436969,0.13379737045630313
108,10.0,0.006,minimum_error,A099,9248,2586,2270,0.8778035576179428,0.12219644238205718
108,10.0,0.006,minimum_error,A100,4502,2586,2224,0.860015467904099,0.139984532095901
540,200.0,0.002,minimum_error,B001,4517,2154,1939,0.9001857010213556,0.09981429897864436
540,200.0,0.002,minimum_error,B002,3927,2154,1933,0.8974001857010213,0.10259981429897869
540,200.0,0.002,minimum_error,B003,6757,2154,1955,0.9076137418755803,0.0923862581244197
540,200.0,0.002,minimum_error,B004,802,2154,1963,0.9113277623026926,0.08867223769730737
540,200.0,0.002,minimum_error,B005,6869,2154,1954,0.9071494893221913,0.0928505106778087
540,200.0,0.002,minimum_error,B006,1015,2154,1915,0.8890436397400185,0.11095636025998146
540,200.0,0.002,minimum_error,B007,7222,2154,1949,0.9048282265552461,0.09517177344475392
540,200.0,0.002,minimum_error,B008,8508,2154,1955,0.9076137418755803,0.0923862581244197
540,200.0,0.002,minimum_error,B009,6294,2154,1943,0.9020427112349118,0.09795728876508825
540,200.0,0.002,minimum_error,B010,8981,2154,1935,0.8983286908077994,0.10167130919220058
540,200.0,0.002,minimum_error,B011,9596,2154,1923,0.8927576601671309,0.10724233983286913
540,200.0,0.002,minimum_error,B012,5061,2154,1910,0.8867223769730733,0.11327762302692668
540,200.0,0.002,minimum_error,B013,4020,2154,1943,0.9020427112349118,0.09795728876508825
540,200.0,0.002,minimum_error,B014,15,2154,1933,0.8974001857010213,0.10259981429897869
540,200.0,0.002,minimum_error,B015,6965,2154,1923,0.8927576601671309,0.10724233983286913
540,200.0,0.002,minimum_error,B016,4248,2154,1942,0.9015784586815228,0.09842154131847725
540,200.0,0.002,minimum_error,B017,6886,2154,1934,0.8978644382544104,0.10213556174558958
540,200.0,0.002,minimum_error,B018,4409,2154,1929,0.8955431754874652,0.1044568245125348
540,200.0,0.002,minimum_error,B019,7633,2154,1955,0.9076137418755803,0.0923862581244197
540,200.0,0.002,minimum_error,B020,8964,2154,1938,0.8997214484679665,0.10027855153203347
540,200.0,0.002,minimum_error,B021,4938,2154,1903,0.88347260909935,0.11652739090065001
540,200.0,0.002,minimum_error,B022,3624,2154,1931,0.8964716805942433,0.10352831940575669
540,200.0,0.002,minimum_error,B023,4380,2154,1953,0.9066852367688022,0.0933147632311978
540,200.0,0.002,minimum_error,B024,1065,2154,1936,0.8987929433611885,0.10120705663881147
540,200.0,0.002,minimum_error,B025,1770,2154,1888,0.8765088207985144,0.12349117920148556
540,200.0,0.002,minimum_error,B026,9172,2154,1960,0.9099350046425255,0.09006499535747448
540,200.0,0.002,minimum_error,B027,4647,2154,1923,0.8927576601671309,0.10724233983286913
540,200.0,0.002,minimum_error,B028,521,2154,1926,0.8941504178272981,0.1058495821727019
540,200.0,0.002,minimum_error,B029,3840,2154,1946,0.903435468895079,0.09656453110492103
