training_size,model_type,seeds,df,trial_id,lambda_type,lambda,total,correct,accuracy,misclassification
540,ridge,3367,46,E011,lambda_1se,1.0855093490043985,2695,2333,0.8656771799628943,0.13432282003710572
540,ridge,8689,46,E012,lambda_1se,1.0855093490043985,2695,2328,0.863821892393321,0.13617810760667903
540,ridge,3251,46,E013,lambda_1se,1.0855093490043985,2695,2305,0.8552875695732839,0.1447124304267161
540,ridge,9203,46,E014,lambda_1se,1.0855093490043985,2695,2348,0.8712430426716141,0.12875695732838588
540,ridge,1372,46,E015,lambda_1se,1.0855093490043985,2695,2336,0.8667903525046382,0.1332096474953618
540,ridge,3671,46,E016,lambda_1se,1.0855093490043985,2695,2290,0.849721706864564,0.15027829313543595
540,ridge,2401,46,E017,lambda_1se,1.0855093490043985,2695,2283,0.8471243042671615,0.15287569573283855
540,ridge,9135,46,E018,lambda_1se,1.0855093490043985,2695,2275,0.8441558441558441,0.1558441558441559
540,ridge,8511,46,E019,lambda_1se,1.0855093490043985,2695,2354,0.8734693877551021,0.12653061224489792
540,ridge,2723,46,E020,lambda_1se,1.0855093490043985,2695,2310,0.8571428571428571,0.1428571428571429
540,ridge,2551,46,E021,lambda_1se,1.0855093490043985,2695,2341,0.8686456400742115,0.13135435992578848
540,ridge,8337,46,E022,lambda_1se,1.0855093490043985,2695,2313,0.8582560296846011,0.14174397031539887
540,ridge,9481,46,E023,lambda_1se,1.0855093490043985,2695,2307,0.8560296846011132,0.14397031539888683
540,ridge,8547,46,E024,lambda_1se,1.0855093490043985,2695,2267,0.8411873840445269,0.15881261595547314
540,ridge,1588,46,E025,lambda_1se,1.0855093490043985,2695,2304,0.8549165120593692,0.14508348794063075
540,ridge,1801,46,E026,lambda_1se,1.0855093490043985,2695,2290,0.849721706864564,0.15027829313543595
540,ridge,5349,46,E027,lambda_1se,1.0855093490043985,2695,2327,0.8634508348794063,0.13654916512059367
540,ridge,614,46,E028,lambda_1se,1.0855093490043985,2695,2246,0.8333951762523191,0.16660482374768093
540,ridge,7711,46,E029,lambda_1se,1.0855093490043985,2695,2332,0.8653061224489796,0.13469387755102036
540,ridge,6761,46,E030,lambda_1se,1.0855093490043985,2695,2275,0.8441558441558441,0.1558441558441559
540,ridge,9113,46,E031,lambda_1se,1.0855093490043985,2695,2309,0.8567717996289425,0.14322820037105755
540,ridge,1791,46,E032,lambda_1se,1.0855093490043985,2695,2365,0.8775510204081632,0.12244897959183676
540,ridge,4142,46,E033,lambda_1se,1.0855093490043985,2695,2311,0.8575139146567718,0.14248608534322815
540,ridge,2801,46,E034,lambda_1se,1.0855093490043985,2695,2310,0.8571428571428571,0.1428571428571429
540,ridge,2239,46,E035,lambda_1se,1.0855093490043985,2695,2306,0.8556586270871985,0.14434137291280147
540,ridge,1086,46,E036,lambda_1se,1.0855093490043985,2695,2303,0.8545454545454545,0.1454545454545455
540,ridge,7770,46,E037,lambda_1se,1.0855093490043985,2695,2289,0.8493506493506493,0.1506493506493507
540,ridge,1711,46,E038,lambda_1se,1.0855093490043985,2695,2290,0.849721706864564,0.15027829313543595
540,ridge,6722,46,E039,lambda_1se,1.0855093490043985,2695,2331,0.8649350649350649,0.1350649350649351
540,ridge,4107,46,E040,lambda_1se,1.0855093490043985,2695,2341,0.8686456400742115,0.13135435992578848
540,ridge,4742,46,E041,lambda_1se,1.0855093490043985,2695,2349,0.8716141001855288,0.12838589981447124
540,ridge,6554,46,E042,lambda_1se,1.0855093490043985,2695,2290,0.849721706864564,0.15027829313543595
540,ridge,312,46,E043,lambda_1se,1.0855093490043985,2695,2232,0.8282003710575139,0.17179962894248613
540,ridge,4344,46,E044,lambda_1se,1.0855093490043985,2695,2283,0.8471243042671615,0.15287569573283855
540,ridge,7361,46,E045,lambda_1se,1.0855093490043985,2695,2330,0.8645640074211502,0.13543599257884975
540,ridge,9517,46,E046,lambda_1se,1.0855093490043985,2695,2340,0.8682745825602969,0.13172541743970312
540,ridge,9995,46,E047,lambda_1se,1.0855093490043985,2695,2271,0.8426716141001855,0.15732838589981446
540,ridge,2259,46,E048,lambda_1se,1.0855093490043985,2695,2321,0.8612244897959184,0.13877551020408163
540,ridge,6585,46,E049,lambda_1se,1.0855093490043985,2695,2312,0.8578849721706865,0.1421150278293135
540,ridge,9454,46,E050,lambda_1se,1.0855093490043985,2695,2300,0.8534322820037106,0.14656771799628943
540,ridge,8338,46,E051,lambda_1se,1.0855093490043985,2695,2327,0.8634508348794063,0.13654916512059367
540,ridge,5481,46,E052,lambda_1se,1.0855093490043985,2695,2338,0.8675324675324675,0.1324675324675325
540,ridge,4014,46,E053,lambda_1se,1.0855093490043985,2695,2297,0.8523191094619667,0.14768089053803335
540,ridge,6337,46,E054,lambda_1se,1.0855093490043985,2695,2315,0.8589981447124304,0.1410018552875696
540,ridge,637,46,E055,lambda_1se,1.0855093490043985,2695,2311,0.8575139146567718,0.14248608534322815
540,ridge,2837,46,E056,lambda_1se,1.0855093490043985,2695,2311,0.8575139146567718,0.14248608534322815
540,ridge,7216,46,E057,lambda_1se,1.0855093490043985,2695,2281,0.8463821892393321,0.15361781076066794
540,ridge,1539,46,E058,lambda_1se,1.0855093490043985,2695,2314,0.8586270871985158,0.14137291280148423
540,ridge,8202,46,E059,lambda_1se,1.0855093490043985,2695,2324,0.8623376623376623,0.1376623376623377
540,ridge,4067,46,E060,lambda_1se,1.0855093490043985,2695,2323,0.8619666048237477,0.13803339517625235
540,ridge,3519,46,E061,lambda_1se,1.0855093490043985,2695,2288,0.8489795918367347,0.15102040816326534
540,ridge,6550,46,E062,lambda_1se,1.0855093490043985,2695,2329,0.8641929499072356,0.1358070500927644
540,ridge,5040,46,E063,lambda_1se,1.0855093490043985,2695,2292,0.8504638218923933,0.14953617810760667
540,ridge,6705,46,E064,lambda_1se,1.0855093490043985,2695,2301,0.8538033395176252,0.14619666048237479
540,ridge,8957,46,E065,lambda_1se,1.0855093490043985,2695,2299,0.8530612244897959,0.14693877551020407
540,ridge,2904,46,E066,lambda_1se,1.0855093490043985,2695,2302,0.8541743970315399,0.14582560296846014
540,ridge,3288,46,E067,lambda_1se,1.0855093490043985,2695,2262,0.8393320964749537,0.16066790352504634
540,ridge,2879,46,E068,lambda_1se,1.0855093490043985,2695,2303,0.8545454545454545,0.1454545454545455
540,ridge,9739,46,E069,lambda_1se,1.0855093490043985,2695,2360,0.87569573283859,0.12430426716140996
540,ridge,5827,46,E070,lambda_1se,1.0855093490043985,2695,2305,0.8552875695732839,0.1447124304267161
540,ridge,4610,46,E071,lambda_1se,1.0855093490043985,2695,2294,0.8512059369202226,0.14879406307977738
540,ridge,935,46,E072,lambda_1se,1.0855093490043985,2695,2328,0.863821892393321,0.13617810760667903
540,ridge,1593,46,E073,lambda_1se,1.0855093490043985,2695,2254,0.8363636363636363,0.1636363636363637
540,ridge,1429,46,E074,lambda_1se,1.0855093490043985,2695,2291,0.8500927643784787,0.1499072356215213
540,ridge,3240,46,E075,lambda_1se,1.0855093490043985,2695,2333,0.8656771799628943,0.13432282003710572
540,ridge,5269,46,E076,lambda_1se,1.0855093490043985,2695,2283,0.8471243042671615,0.15287569573283855
540,ridge,3900,46,E077,lambda_1se,1.0855093490043985,2695,2322,0.861595547309833,0.138404452690167
540,ridge,6351,46,E078,lambda_1se,1.0855093490043985,2695,2308,0.8564007421150278,0.1435992578849722
540,ridge,5433,46,E079,lambda_1se,1.0855093490043985,2695,2331,0.8649350649350649,0.1350649350649351
540,ridge,2731,46,E080,lambda_1se,1.0855093490043985,2695,2214,0.8215213358070501,0.1784786641929499
540,ridge,2831,46,E081,lambda_1se,1.0855093490043985,2695,2286,0.8482374768089054,0.15176252319109462
540,ridge,8932,46,E082,lambda_1se,1.0855093490043985,2695,2248,0.8341372912801485,0.16586270871985154
