training_size,trial_i,rf_mtry,rf_ntree,rf_replace,trial_seed,total,correct,accuracy,misclassification,trial_run,seed
1347.0,30,1,10.0,TRUE,6059,1348,1157,0.8583086053412463,0.1416913946587537,30,6059
108.0,31,1,10.0,TRUE,92712,2587,2123,0.820641669887901,0.179358330112099,31,92712
540.0,31,1,10.0,TRUE,80745,2155,1770,0.8213457076566125,0.17865429234338748,31,80745
1347.0,31,1,10.0,TRUE,7875,1348,1174,0.870919881305638,0.12908011869436198,31,7875
108.0,32,1,10.0,TRUE,60037,2587,1449,0.5601082334750677,0.43989176652493234,32,60037
540.0,32,1,10.0,TRUE,71411,2155,1819,0.8440835266821346,0.1559164733178654,32,71411
1347.0,32,1,10.0,TRUE,51336,1348,1130,0.8382789317507419,0.16172106824925814,32,51336
108.0,33,1,10.0,TRUE,71943,2587,1771,0.6845767298028604,0.31542327019713956,33,71943
540.0,33,1,10.0,TRUE,74922,2155,1817,0.8431554524361949,0.15684454756380506,33,74922
1347.0,33,1,10.0,TRUE,9555,1348,1137,0.8434718100890207,0.15652818991097928,33,9555
108.0,34,1,10.0,TRUE,39744,2587,1942,0.7506764592191728,0.2493235407808272,34,39744
540.0,34,1,10.0,TRUE,29418,2155,1719,0.7976798143851508,0.2023201856148492,34,29418
1347.0,34,1,10.0,TRUE,61664,1348,1164,0.8635014836795252,0.13649851632047483,34,61664
108.0,35,1,10.0,TRUE,97329,2587,2184,0.8442211055276382,0.15577889447236182,35,97329
540.0,35,1,10.0,TRUE,61758,2155,1777,0.8245939675174014,0.17540603248259856,35,61758
1347.0,35,1,10.0,TRUE,52083,1348,1188,0.8813056379821959,0.11869436201780414,35,52083
108.0,36,1,10.0,TRUE,90156,2587,2144,0.8287591805179745,0.17124081948202552,36,90156
540.0,36,1,10.0,TRUE,63678,2155,1783,0.8273781902552204,0.1726218097447796,36,63678
1347.0,36,1,10.0,TRUE,86338,1348,1174,0.870919881305638,0.12908011869436198,36,86338
108.0,37,1,10.0,TRUE,25085,2587,1489,0.5755701584847314,0.42442984151526864,37,25085
540.0,37,1,10.0,TRUE,21484,2155,1847,0.85707656612529,0.14292343387470996,37,21484
1347.0,37,1,10.0,TRUE,60881,1348,1117,0.8286350148367952,0.17136498516320475,37,60881
108.0,38,1,10.0,TRUE,38302,2587,2039,0.7881716273676073,0.21182837263239274,38,38302
540.0,38,1,10.0,TRUE,75443,2155,1753,0.8134570765661253,0.18654292343387469,38,75443
1347.0,38,1,10.0,TRUE,37931,1348,1147,0.8508902077151336,0.14910979228486643,38,37931
108.0,39,1,10.0,TRUE,79407,2587,1989,0.7688442211055276,0.23115577889447236,39,79407
540.0,39,1,10.0,TRUE,90465,2155,1802,0.8361948955916473,0.16380510440835272,39,90465
1347.0,39,1,10.0,TRUE,98289,1348,1135,0.8419881305637982,0.15801186943620182,39,98289
108.0,40,1,10.0,TRUE,58727,2587,2038,0.7877850792423656,0.21221492075763437,40,58727
540.0,40,1,10.0,TRUE,946,2155,1766,0.8194895591647332,0.1805104408352668,40,946
1347.0,40,1,10.0,TRUE,32042,1348,1194,0.8857566765578635,0.1142433234421365,40,32042
108.0,41,1,10.0,TRUE,55879,2587,2184,0.8442211055276382,0.15577889447236182,41,55879
540.0,41,1,10.0,TRUE,51430,2155,1869,0.8672853828306265,0.1327146171693735,41,51430
1347.0,41,1,10.0,TRUE,8961,1348,1135,0.8419881305637982,0.15801186943620182,41,8961
108.0,42,1,10.0,TRUE,68242,2587,2028,0.7839195979899497,0.2160804020100503,42,68242
540.0,42,1,10.0,TRUE,70910,2155,1835,0.851508120649652,0.14849187935034802,42,70910
