training_size,cost,gamma,seeds,total,correct,testfold_name,accuracy,misclassification
540.0,0.5,0.0,114,54,30,Fold03,0.5555555555555556,0.4444444444444444
540.0,0.5,0.0,114,54,29,Fold04,0.5370370370370371,0.4629629629629629
540.0,0.5,0.0,114,54,30,Fold05,0.5555555555555556,0.4444444444444444
540.0,0.5,0.0,114,55,30,Fold06,0.5454545454545454,0.4545454545454546
540.0,0.5,0.0,114,53,29,Fold07,0.5471698113207547,0.4528301886792453
540.0,0.5,0.0,114,55,30,Fold08,0.5454545454545454,0.4545454545454546
540.0,0.5,0.0,114,54,30,Fold09,0.5555555555555556,0.4444444444444444
540.0,0.5,0.0,114,54,30,Fold10,0.5555555555555556,0.4444444444444444
1347.0,0.5,0.0,39115,135,76,Fold01,0.562962962962963,0.437037037037037
1347.0,0.5,0.0,39115,134,76,Fold02,0.5671641791044776,0.4328358208955224
1347.0,0.5,0.0,39115,135,76,Fold03,0.562962962962963,0.437037037037037
1347.0,0.5,0.0,39115,135,76,Fold04,0.562962962962963,0.437037037037037
1347.0,0.5,0.0,39115,135,76,Fold05,0.562962962962963,0.437037037037037
1347.0,0.5,0.0,39115,135,76,Fold06,0.562962962962963,0.437037037037037
1347.0,0.5,0.0,39115,135,76,Fold07,0.562962962962963,0.437037037037037
1347.0,0.5,0.0,39115,135,76,Fold08,0.562962962962963,0.437037037037037
1347.0,0.5,0.0,39115,134,75,Fold09,0.5597014925373134,0.4402985074626866
1347.0,0.5,0.0,39115,134,76,Fold10,0.5671641791044776,0.4328358208955224
108.0,1.0,0.0,46243,11,6,Fold01,0.5454545454545454,0.4545454545454546
108.0,1.0,0.0,46243,11,6,Fold02,0.5454545454545454,0.4545454545454546
108.0,1.0,0.0,46243,11,6,Fold03,0.5454545454545454,0.4545454545454546
108.0,1.0,0.0,46243,11,6,Fold04,0.5454545454545454,0.4545454545454546
108.0,1.0,0.0,46243,11,6,Fold05,0.5454545454545454,0.4545454545454546
